Date,Day,Cases,Deaths
02-Mar-20,2,5,0
03-Mar-20,3,6,0
04-Mar-20,4,28,0
05-Mar-20,5,30,0
06-Mar-20,6,31,0
07-Mar-20,7,34,0
08-Mar-20,8,39,0
09-Mar-20,9,44,0
10-Mar-20,10,50,0
11-Mar-20,11,60,0
12-Mar-20,12,74,1
13-Mar-20,13,81,2
14-Mar-20,14,84,2
15-Mar-20,15,110,2
16-Mar-20,16,114,2
17-Mar-20,17,137,3
18-Mar-20,18,151,3
19-Mar-20,19,173,4
20-Mar-20,20,223,4
21-Mar-20,21,315,4
22-Mar-20,22,360,7
23-Mar-20,23,468,9
24-Mar-20,24,519,10
25-Mar-20,25,606,10
26-Mar-20,26,694,16
27-Mar-20,27,834,19
28-Mar-20,28,918,19
29-Mar-20,29,1024,27
30-Mar-20,30,1251,32
31-Mar-20,31,1397,35
01-Apr-20,32,1834,41
02-Apr-20,33,2069,53
03-Apr-20,34,2547,62
04-Apr-20,35,3072,75
05-Apr-20,36,3577,83
06-Apr-20,37,4281,111
07-Apr-20,38,4789,124
08-Apr-20,39,5274,149
09-Apr-20,40,5865,169
10-Apr-20,41,6761,206
11-Apr-20,42,7529,242
12-Apr-20,43,8447,273
13-Apr-20,44,9352,324
14-Apr-20,45,10815,353
15-Apr-20,46,11933,392
16-Apr-20,47,12759,420
17-Apr-20,48,13835,452
18-Apr-20,49,14792,488
19-Apr-20,50,16116,519
20-Apr-20,51,17656,559
21-Apr-20,52,18985,603
22-Apr-20,53,20471,652
23-Apr-20,54,21700,686
24-Apr-20,55,23452,723
25-Apr-20,56,24942,779
26-Apr-20,57,26917,826
27-Apr-20,58,28380,886
28-Apr-20,59,29974,937
29-Apr-20,60,31787,1008
30-Apr-20,61,33610,1075
01-May-20,62,35365,1152
02-May-20,63,37776,1223
03-May-20,64,40263,1306
04-May-20,65,42836,1389
05-May-20,66,46711,1583
06-May-20,67,49391,1694
07-May-20,68,52952,1783
08-May-20,69,56342,1886
09-May-20,70,59662,1981
10-May-20,71,62939,2109
11-May-20,72,67152,2206
12-May-20,73,70756,2293
13-May-20,74,74281,2415
14-May-20,75,78003,2549
15-May-20,76,81970,2649
16-May-20,77,85940,2752
17-May-20,78,90927,2872
